YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,TOTAL_ADD_GTIME,DIV_AIRPORT_LANDINGS,DIV_REACHED_DEST,DIV_ACTUAL_ELAPSED_TIME,DIV_DISTANCE,DIV1_AIRPORT,DIV2_AIRPORT
2017,11,5,7,2017-11-05,UA,N822UA,153,ORD,"Chicago, IL",PIT,"Pittsburgh, PA",1050,1044.0,-6.0,1319,1811.0,89.0,413.0,,1.0,1.0,387.0,0.0,DTW,
2017,11,26,7,2017-11-26,UA,N77537,1910,DEN,"Denver, CO",SFO,"San Francisco, CA",2045,2253.0,128.0,2232,345.0,167.0,967.0,,1.0,1.0,352.0,0.0,DEN,
2017,11,25,6,2017-11-25,UA,N77525,29,EWR,"Newark, NJ",SAN,"San Diego, CA",1941,1939.0,-2.0,2249,36.0,368.0,2425.0,,1.0,1.0,477.0,0.0,LAX,
2017,11,25,6,2017-11-25,UA,N448UA,311,DEN,"Denver, CO",SBA,"Santa Barbara, CA",2240,2235.0,-5.0,27,814.0,167.0,916.0,,1.0,1.0,639.0,0.0,DEN,
2017,11,25,6,2017-11-25,UA,N493UA,492,IAD,"Washington, DC",SFO,"San Francisco, CA",815,1258.0,283.0,1120,1650.0,365.0,2419.0,,1.0,1.0,412.0,0.0,ORD,
2017,11,25,6,2017-11-25,UA,N37409,1171,IAH,"Houston, TX",SAN,"San Diego, CA",2200,2155.0,-5.0,2329,107.0,209.0,1303.0,,1.0,1.0,312.0,0.0,LAX,
2017,11,25,6,2017-11-25,UA,N68834,1973,SFO,"San Francisco, CA",SAN,"San Diego, CA",2021,2019.0,-2.0,2155,2359.0,94.0,447.0,,1.0,1.0,220.0,0.0,ONT,
2017,11,24,5,2017-11-24,UA,N19136,282,EWR,"Newark, NJ",DEN,"Denver, CO",805,756.0,-9.0,1034,1249.0,269.0,1605.0,,1.0,1.0,413.0,0.0,PIT,
2017,11,23,4,2017-11-23,UA,N77537,541,SFO,"San Francisco, CA",EUG,"Eugene, OR",1400,1346.0,-14.0,1545,1857.0,105.0,451.0,,1.0,1.0,311.0,0.0,SFO,
2017,11,23,4,2017-11-23,UA,N66831,1844,IAH,"Houston, TX",SFO,"San Francisco, CA",2005,2001.0,-4.0,2229,2305.0,264.0,1635.0,,1.0,1.0,304.0,0.0,PHX,
2017,11,13,1,2017-11-13,UA,N69835,484,SEA,"Seattle, WA",ORD,"Chicago, IL",30,37.0,7.0,628,826.0,238.0,1721.0,,1.0,1.0,349.0,0.0,SEA,
2017,11,13,1,2017-11-13,UA,N53442,1792,IAH,"Houston, TX",SEA,"Seattle, WA",1440,1433.0,-7.0,1734,2031.0,294.0,1874.0,,1.0,1.0,478.0,0.0,PDX,
2017,11,13,1,2017-11-13,UA,N19130,1796,SFO,"San Francisco, CA",EWR,"Newark, NJ",2339,2349.0,10.0,759,1747.0,320.0,2565.0,,1.0,1.0,898.0,0.0,SFO,
2017,11,13,1,2017-11-13,UA,N12218,1932,EWR,"Newark, NJ",SEA,"Seattle, WA",1330,1332.0,2.0,1648,1922.0,378.0,2402.0,,1.0,1.0,530.0,0.0,YKM,
2017,11,12,7,2017-11-12,UA,N36280,1867,SEA,"Seattle, WA",IAH,"Houston, TX",1240,1234.0,-6.0,1856,2033.0,256.0,1874.0,,1.0,1.0,359.0,0.0,SEA,
2017,11,11,6,2017-11-11,UA,N27477,1981,CLE,"Cleveland, OH",LAX,"Los Angeles, CA",735,734.0,-1.0,1004,1236.0,329.0,2052.0,,1.0,1.0,482.0,0.0,ORD,
2017,11,1,3,2017-11-01,UA,N66803,1205,KOA,"Kona, HI",LAX,"Los Angeles, CA",1235,1251.0,16.0,2112,,337.0,2504.0,,1.0,0.0,,2556.0,HNL,
